	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Female"	"F"	1215939	142237295	854.87
	"1999"	"1999"	"Male"	"M"	1175460	136802873	859.24
	"2000"	"2000"	"Female"	"F"	1225773	143368343	854.98
	"2000"	"2000"	"Male"	"M"	1177578	138053563	852.99
	"2001"	"2001"	"Female"	"F"	1233004	145077463	849.89
	"2001"	"2001"	"Male"	"M"	1183421	139891492	845.96
	"2002"	"2002"	"Female"	"F"	1244123	146394634	849.84
	"2002"	"2002"	"Male"	"M"	1199264	141230559	849.15
	"2003"	"2003"	"Female"	"F"	1246324	147679036	843.94
	"2003"	"2003"	"Male"	"M"	1201964	142428897	843.90
	"2004"	"2004"	"Female"	"F"	1215947	148977286	816.20
	"2004"	"2004"	"Male"	"M"	1181668	143828012	821.58
	"2005"	"2005"	"Female"	"F"	1240342	150319521	825.14
	"2005"	"2005"	"Male"	"M"	1207675	145197078	831.75
	"2006"	"2006"	"Female"	"F"	1224322	151732647	806.89
	"2006"	"2006"	"Male"	"M"	1201942	146647265	819.61
	"2007"	"2007"	"Female"	"F"	1219744	153166353	796.35
	"2007"	"2007"	"Male"	"M"	1203968	148064854	813.14
	"2008"	"2008"	"Female"	"F"	1245787	154604015	805.79
	"2008"	"2008"	"Male"	"M"	1226197	149489951	820.25
	"2009"	"2009"	"Female"	"F"	1219784	155964075	782.09
	"2009"	"2009"	"Male"	"M"	1217379	150807454	807.24
	"2010"	"2010"	"Female"	"F"	1236003	156964212	787.44
	"2010"	"2010"	"Male"	"M"	1232432	151781326	811.98
	"2011"	"2011"	"Female"	"F"	1260480	158301098	796.25
	"2011"	"2011"	"Male"	"M"	1254978	153290819	818.69
	"2012"	"2012"	"Female"	"F"	1269557	159421973	796.35
	"2012"	"2012"	"Male"	"M"	1273722	154492067	824.46
	"2013"	"2013"	"Female"	"F"	1290959	160477237	804.45
	"2013"	"2013"	"Male"	"M"	1306034	155651602	839.08
	"2014"	"2014"	"Female"	"F"	1298177	161920569	801.74
	"2014"	"2014"	"Male"	"M"	1328241	156936487	846.36
	"2015"	"2015"	"Female"	"F"	1339226	163189523	820.66
	"2015"	"2015"	"Male"	"M"	1373404	158229297	867.98
	"2016"	"2016"	"Female"	"F"	1344016	164048590	819.28
	"2016"	"2016"	"Male"	"M"	1400232	159078923	880.21
	"2017"	"2017"	"Female"	"F"	1374392	165311059	831.40
	"2017"	"2017"	"Male"	"M"	1439111	160408119	897.16
	"2018"	"2018"	"Female"	"F"	1380736	166038755	831.57
	"2018"	"2018"	"Male"	"M"	1458469	161128679	905.16
	"2019"	"2019"	"Female"	"F"	1381015	166582199	829.03
	"2019"	"2019"	"Male"	"M"	1473823	161657324	911.70
	"2020 "	"2020"	"Female"	"F"	1613845	167227921	965.06
	"2020 "	"2020"	"Male"	"M"	1769884	162256202	1090.80
 
