	"Year"	"Year Code"	"State"	"State Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Alabama"	"01"	"Female"	"F"	22603	2293259	985.63
	"1999"	"1999"	"Alabama"	"01"	"Male"	"M"	22203	2136882	1039.04
	"1999"	"1999"	"Alaska"	"02"	"Female"	"F"	1166	301266	387.03
	"1999"	"1999"	"Alaska"	"02"	"Male"	"M"	1542	323513	476.64
	"1999"	"1999"	"Arizona"	"04"	"Female"	"F"	18797	2518299	746.42
	"1999"	"1999"	"Arizona"	"04"	"Male"	"M"	21253	2505524	848.25
	"1999"	"1999"	"Arkansas"	"05"	"Female"	"F"	13911	1359445	1023.29
	"1999"	"1999"	"Arkansas"	"05"	"Male"	"M"	14014	1292415	1084.33
	"1999"	"1999"	"California"	"06"	"Female"	"F"	114895	16800161	683.89
	"1999"	"1999"	"California"	"06"	"Male"	"M"	114485	16699043	685.58
	"1999"	"1999"	"Colorado"	"08"	"Female"	"F"	13622	2101358	648.25
	"1999"	"1999"	"Colorado"	"08"	"Male"	"M"	13492	2124660	635.02
	"1999"	"1999"	"Connecticut"	"09"	"Female"	"F"	15481	1747148	886.07
	"1999"	"1999"	"Connecticut"	"09"	"Male"	"M"	13965	1639253	851.91
	"1999"	"1999"	"Delaware"	"10"	"Female"	"F"	3324	398732	833.64
	"1999"	"1999"	"Delaware"	"10"	"Male"	"M"	3342	376258	888.22
	"1999"	"1999"	"District of Columbia"	"11"	"Female"	"F"	2967	301797	983.11
	"1999"	"1999"	"District of Columbia"	"11"	"Male"	"M"	3109	268416	1158.28
	"1999"	"1999"	"Florida"	"12"	"Female"	"F"	80173	8073847	993.00
	"1999"	"1999"	"Florida"	"12"	"Male"	"M"	83051	7685574	1080.61
	"1999"	"1999"	"Georgia"	"13"	"Female"	"F"	31161	4096031	760.76
	"1999"	"1999"	"Georgia"	"13"	"Male"	"M"	30867	3949934	781.46
	"1999"	"1999"	"Hawaii"	"15"	"Female"	"F"	3554	601830	590.53
	"1999"	"1999"	"Hawaii"	"15"	"Male"	"M"	4716	608470	775.06
	"1999"	"1999"	"Idaho"	"16"	"Female"	"F"	4651	636798	730.37
	"1999"	"1999"	"Idaho"	"16"	"Male"	"M"	4928	638876	771.35
	"1999"	"1999"	"Illinois"	"17"	"Female"	"F"	55849	6313350	884.62
	"1999"	"1999"	"Illinois"	"17"	"Male"	"M"	52587	6045670	869.83
	"1999"	"1999"	"Indiana"	"18"	"Female"	"F"	28690	3083351	930.48
	"1999"	"1999"	"Indiana"	"18"	"Male"	"M"	26613	2961618	898.60
	"1999"	"1999"	"Iowa"	"19"	"Female"	"F"	15012	1488223	1008.72
	"1999"	"1999"	"Iowa"	"19"	"Male"	"M"	13399	1429411	937.38
	"1999"	"1999"	"Kansas"	"20"	"Female"	"F"	12750	1356044	940.23
	"1999"	"1999"	"Kansas"	"20"	"Male"	"M"	11722	1322294	886.49
	"1999"	"1999"	"Kentucky"	"21"	"Female"	"F"	19873	2056401	966.40
	"1999"	"1999"	"Kentucky"	"21"	"Male"	"M"	19448	1961652	991.41
	"1999"	"1999"	"Louisiana"	"22"	"Female"	"F"	20596	2302744	894.41
	"1999"	"1999"	"Louisiana"	"22"	"Male"	"M"	20642	2158067	956.50
	"1999"	"1999"	"Maine"	"23"	"Female"	"F"	6473	650598	994.93
	"1999"	"1999"	"Maine"	"23"	"Male"	"M"	5788	616210	939.29
	"1999"	"1999"	"Maryland"	"24"	"Female"	"F"	21886	2716928	805.54
	"1999"	"1999"	"Maryland"	"24"	"Male"	"M"	21203	2537581	835.56
	"1999"	"1999"	"Massachusetts"	"25"	"Female"	"F"	29820	3274830	910.58
	"1999"	"1999"	"Massachusetts"	"25"	"Male"	"M"	26020	3042515	855.21
	"1999"	"1999"	"Michigan"	"26"	"Female"	"F"	44579	5047770	883.14
	"1999"	"1999"	"Michigan"	"26"	"Male"	"M"	42653	4849346	879.56
	"1999"	"1999"	"Minnesota"	"27"	"Female"	"F"	19926	2462931	809.04
	"1999"	"1999"	"Minnesota"	"27"	"Male"	"M"	18611	2410550	772.06
	"1999"	"1999"	"Mississippi"	"28"	"Female"	"F"	13952	1464581	952.63
	"1999"	"1999"	"Mississippi"	"28"	"Male"	"M"	14233	1363827	1043.61
	"1999"	"1999"	"Missouri"	"29"	"Female"	"F"	28978	2860166	1013.16
	"1999"	"1999"	"Missouri"	"29"	"Male"	"M"	26953	2701782	997.60
	"1999"	"1999"	"Montana"	"30"	"Female"	"F"	4019	450543	892.03
	"1999"	"1999"	"Montana"	"30"	"Male"	"M"	4109	446964	919.31
	"1999"	"1999"	"Nebraska"	"31"	"Female"	"F"	8159	865531	942.66
	"1999"	"1999"	"Nebraska"	"31"	"Male"	"M"	7420	839233	884.14
	"1999"	"1999"	"Nevada"	"32"	"Female"	"F"	6741	949422	710.01
	"1999"	"1999"	"Nevada"	"32"	"Male"	"M"	8341	985296	846.55
	"1999"	"1999"	"New Hampshire"	"33"	"Female"	"F"	4958	621409	797.86
	"1999"	"1999"	"New Hampshire"	"33"	"Male"	"M"	4579	600605	762.40
	"1999"	"1999"	"New Jersey"	"34"	"Female"	"F"	38580	4304271	896.32
	"1999"	"1999"	"New Jersey"	"34"	"Male"	"M"	35401	4055321	872.95
	"1999"	"1999"	"New Mexico"	"35"	"Female"	"F"	6458	918661	702.98
	"1999"	"1999"	"New Mexico"	"35"	"Male"	"M"	7218	889421	811.54
	"1999"	"1999"	"New York"	"36"	"Female"	"F"	83833	9777654	857.39
	"1999"	"1999"	"New York"	"36"	"Male"	"M"	76094	9105071	835.73
	"1999"	"1999"	"North Carolina"	"37"	"Female"	"F"	35354	4062710	870.21
	"1999"	"1999"	"North Carolina"	"37"	"Male"	"M"	34246	3886651	881.12
	"1999"	"1999"	"North Dakota"	"38"	"Female"	"F"	3058	322617	947.87
	"1999"	"1999"	"North Dakota"	"38"	"Male"	"M"	3045	321642	946.70
	"1999"	"1999"	"Ohio"	"39"	"Female"	"F"	56575	5835017	969.58
	"1999"	"1999"	"Ohio"	"39"	"Male"	"M"	51942	5500437	944.32
	"1999"	"1999"	"Oklahoma"	"40"	"Female"	"F"	17778	1748783	1016.59
	"1999"	"1999"	"Oklahoma"	"40"	"Male"	"M"	16922	1688364	1002.27
	"1999"	"1999"	"Oregon"	"41"	"Female"	"F"	14963	1712226	873.89
	"1999"	"1999"	"Oregon"	"41"	"Male"	"M"	14459	1681715	859.78
	"1999"	"1999"	"Pennsylvania"	"42"	"Female"	"F"	68394	6347064	1077.57
	"1999"	"1999"	"Pennsylvania"	"42"	"Male"	"M"	61889	5916741	1046.00
	"1999"	"1999"	"Rhode Island"	"44"	"Female"	"F"	5220	540724	965.37
	"1999"	"1999"	"Rhode Island"	"44"	"Male"	"M"	4488	499678	898.18
	"1999"	"1999"	"South Carolina"	"45"	"Female"	"F"	17899	2045606	875.00
	"1999"	"1999"	"South Carolina"	"45"	"Male"	"M"	18154	1929076	941.07
	"1999"	"1999"	"South Dakota"	"46"	"Female"	"F"	3485	378500	920.74
	"1999"	"1999"	"South Dakota"	"46"	"Male"	"M"	3468	371912	932.48
	"1999"	"1999"	"Tennessee"	"47"	"Female"	"F"	27127	2897466	936.23
	"1999"	"1999"	"Tennessee"	"47"	"Male"	"M"	26638	2741240	971.75
	"1999"	"1999"	"Texas"	"48"	"Female"	"F"	73573	10360202	710.15
	"1999"	"1999"	"Texas"	"48"	"Male"	"M"	73285	10198018	718.62
	"1999"	"1999"	"Utah"	"49"	"Female"	"F"	5890	1100167	535.37
