	"Year"	"Year Code"	"Gender"	"Gender Code"	"State"	"Residence State Code"	Deaths	Population	Crude Rate
	"2021"	"2021"	"Female"	"F"	"Alabama"	"01"	32578	2591778	1256.97
	"2021"	"2021"	"Female"	"F"	"Alaska"	"02"	2561	348469	734.93
	"2021"	"2021"	"Female"	"F"	"Arizona"	"04"	36353	3642602	998.00
	"2021"	"2021"	"Female"	"F"	"Arkansas"	"05"	18686	1532713	1219.15
	"2021"	"2021"	"Female"	"F"	"California"	"06"	151851	19620646	773.93
	"2021"	"2021"	"Female"	"F"	"Colorado"	"08"	21891	2867419	763.44
	"2021"	"2021"	"Female"	"F"	"Connecticut"	"09"	16600	1836010	904.13
	"2021"	"2021"	"Female"	"F"	"Delaware"	"10"	5202	516048	1008.05
	"2021"	"2021"	"Female"	"F"	"District of Columbia"	"11"	2756	351146	784.86
	"2021"	"2021"	"Female"	"F"	"Florida"	"12"	120346	11070771	1087.06
	"2021"	"2021"	"Female"	"F"	"Georgia"	"13"	53523	5529805	967.90
	"2021"	"2021"	"Female"	"F"	"Hawaii"	"15"	5908	716220	824.89
	"2021"	"2021"	"Female"	"F"	"Idaho"	"16"	8482	942307	900.13
	"2021"	"2021"	"Female"	"F"	"Illinois"	"17"	59596	6406387	930.26
	"2021"	"2021"	"Female"	"F"	"Indiana"	"18"	37248	3428315	1086.48
	"2021"	"2021"	"Female"	"F"	"Iowa"	"19"	16377	1591695	1028.90
	"2021"	"2021"	"Female"	"F"	"Kansas"	"20"	15227	1464091	1040.03
	"2021"	"2021"	"Female"	"F"	"Kentucky"	"21"	28461	2275505	1250.76
	"2021"	"2021"	"Female"	"F"	"Louisiana"	"22"	26396	2358856	1119.02
	"2021"	"2021"	"Female"	"F"	"Maine"	"23"	8087	695754	1162.34
	"2021"	"2021"	"Female"	"F"	"Maryland"	"24"	28038	3162705	886.52
	"2021"	"2021"	"Female"	"F"	"Massachusetts"	"25"	30739	3572631	860.40
	"2021"	"2021"	"Female"	"F"	"Michigan"	"26"	55560	5070232	1095.81
	"2021"	"2021"	"Female"	"F"	"Minnesota"	"27"	24406	2846977	857.26
	"2021"	"2021"	"Female"	"F"	"Mississippi"	"28"	19361	1514629	1278.27
	"2021"	"2021"	"Female"	"F"	"Missouri"	"29"	34864	3123522	1116.18
	"2021"	"2021"	"Female"	"F"	"Montana"	"30"	5683	545001	1042.75
	"2021"	"2021"	"Female"	"F"	"Nebraska"	"31"	9023	976900	923.64
	"2021"	"2021"	"Female"	"F"	"Nevada"	"32"	14233	1559894	912.43
	"2021"	"2021"	"Female"	"F"	"New Hampshire"	"33"	6720	695860	965.71
	"2021"	"2021"	"Female"	"F"	"New Jersey"	"34"	41107	4705188	873.65
	"2021"	"2021"	"Female"	"F"	"New Mexico"	"35"	11124	1063180	1046.30
	"2021"	"2021"	"Female"	"F"	"New York"	"36"	88515	10140611	872.88
	"2021"	"2021"	"Female"	"F"	"North Carolina"	"37"	56273	5394907	1043.08
	"2021"	"2021"	"Female"	"F"	"North Dakota"	"38"	3346	376539	888.62
	"2021"	"2021"	"Female"	"F"	"Ohio"	"39"	70638	5967819	1183.65
	"2021"	"2021"	"Female"	"F"	"Oklahoma"	"40"	23700	2002339	1183.62
	"2021"	"2021"	"Female"	"F"	"Oregon"	"41"	20821	2129317	977.83
	"2021"	"2021"	"Female"	"F"	"Pennsylvania"	"42"	74675	6564246	1137.60
	"2021"	"2021"	"Female"	"F"	"Rhode Island"	"44"	5627	558649	1007.25
	"2021"	"2021"	"Female"	"F"	"South Carolina"	"45"	30521	2666990	1144.40
	"2021"	"2021"	"Female"	"F"	"South Dakota"	"46"	4263	440534	967.69
	"2021"	"2021"	"Female"	"F"	"Tennessee"	"47"	43020	3555217	1210.05
	"2021"	"2021"	"Female"	"F"	"Texas"	"48"	123163	14791971	832.63
	"2021"	"2021"	"Female"	"F"	"Utah"	"49"	10531	1647906	639.05
	"2021"	"2021"	"Female"	"F"	"Vermont"	"50"	3219	324720	991.32
	"2021"	"2021"	"Female"	"F"	"Virginia"	"51"	41128	4365073	942.21
	"2021"	"2021"	"Female"	"F"	"Washington"	"53"	31974	3840425	832.56
	"2021"	"2021"	"Female"	"F"	"West Virginia"	"54"	13851	893861	1549.57
	"2021"	"2021"	"Female"	"F"	"Wisconsin"	"55"	28890	2942034	981.97
	"2021"	"2021"	"Female"	"F"	"Wyoming"	"56"	2981	282589	1054.89
	"2021"	"2021"	"Male"	"M"	"Alabama"	"01"	36311	2448099	1483.23
	"2021"	"2021"	"Male"	"M"	"Alaska"	"02"	3647	384204	949.24
