	"Year"	"Year Code"	"State"	"Residence State Code"	Deaths	Population	Crude Rate
	"2021"	"2021"	"Alabama"	"01"	376	83625	449.63
	"2021"	"2021"	"Alaska"	"02"	362	60199	601.34
	"2021"	"2021"	"Arizona"	"04"	1532	298673	512.94
	"2021"	"2021"	"Arkansas"	"05"	304	67653	449.35
	"2021"	"2021"	"California"	"06"	37301	6455358	577.83
	"2021"	"2021"	"Colorado"	"08"	871	221638	392.98
	"2021"	"2021"	"Connecticut"	"09"	482	186653	258.23
	"2021"	"2021"	"Delaware"	"10"	139	43582	318.94
	"2021"	"2021"	"District of Columbia"	"11"	80	31405	254.74
	"2021"	"2021"	"Florida"	"12"	3252	690510	470.96
	"2021"	"2021"	"Georgia"	"13"	1907	508262	375.20
	"2021"	"2021"	"Hawaii"	"15"	6861	680614	1008.06
	"2021"	"2021"	"Idaho"	"16"	154	35133	438.33
	"2021"	"2021"	"Illinois"	"17"	2805	779708	359.75
	"2021"	"2021"	"Indiana"	"18"	545	189787	287.16
	"2021"	"2021"	"Iowa"	"19"	268	94417	283.85
	"2021"	"2021"	"Kansas"	"20"	380	98246	386.78
	"2021"	"2021"	"Kentucky"	"21"	245	81719	299.81
	"2021"	"2021"	"Louisiana"	"22"	439	89997	487.79
	"2021"	"2021"	"Maine"	"23"	68	19342	351.57
	"2021"	"2021"	"Maryland"	"24"	1780	434940	409.25
	"2021"	"2021"	"Massachusetts"	"25"	1665	533000	312.38
	"2021"	"2021"	"Michigan"	"26"	1137	347895	326.82
	"2021"	"2021"	"Minnesota"	"27"	1191	311620	382.20
	"2021"	"2021"	"Mississippi"	"28"	166	35424	468.61
	"2021"	"2021"	"Missouri"	"29"	506	149401	338.69
	"2021"	"2021"	"Montana"	"30"	51	12150	419.75
	"2021"	"2021"	"Nebraska"	"31"	145	57257	253.24
	"2021"	"2021"	"Nevada"	"32"	2348	313076	749.98
	"2021"	"2021"	"New Hampshire"	"33"	87	43659	199.27
	"2021"	"2021"	"New Jersey"	"34"	3425	969070	353.43
	"2021"	"2021"	"New Mexico"	"35"	202	43379	465.66
	"2021"	"2021"	"New York"	"36"	8496	1874526	453.23
	"2021"	"2021"	"North Carolina"	"37"	1187	374354	317.08
	"2021"	"2021"	"North Dakota"	"38"	33	13582	242.97
	"2021"	"2021"	"Ohio"	"39"	1011	320939	315.01
	"2021"	"2021"	"Oklahoma"	"40"	489	107908	453.16
	"2021"	"2021"	"Oregon"	"41"	961	230835	416.31
	"2021"	"2021"	"Pennsylvania"	"42"	1881	523526	359.29
	"2021"	"2021"	"Rhode Island"	"44"	152	42818	354.99
	"2021"	"2021"	"South Carolina"	"45"	400	105615	378.73
	"2021"	"2021"	"South Dakota"	"46"	38	15991	237.63
	"2021"	"2021"	"Tennessee"	"47"	560	148124	378.06
	"2021"	"2021"	"Texas"	"48"	5766	1663081	346.71
	"2021"	"2021"	"Utah"	"49"	604	127887	472.29
	"2021"	"2021"	"Vermont"	"50"	44	13207	333.16
	"2021"	"2021"	"Virginia"	"51"	2238	631687	354.29
	"2021"	"2021"	"Washington"	"53"	3722	838582	443.84
	"2021"	"2021"	"West Virginia"	"54"	83	16270	510.14
	"2021"	"2021"	"Wisconsin"	"55"	636	190287	334.23
	"2021"	"2021"	"Wyoming"	"56"	24	6915	347.07
	"2022 (provisional)"	"2022"	"Alabama"	"01"	323	86171	374.84
	"2022 (provisional)"	"2022"	"Alaska"	"02"	261	61634	423.47
	"2022 (provisional)"	"2022"	"Arizona"	"04"	1235	310801	397.36
	"2022 (provisional)"	"2022"	"Arkansas"	"05"	269	70586	381.10
