	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Alabama"	"01"	44806	4430141	1011.39
	"1999"	"1999"	"Alaska"	"02"	2708	624779	433.43
	"1999"	"1999"	"Arizona"	"04"	40050	5023823	797.20
	"1999"	"1999"	"Arkansas"	"05"	27925	2651860	1053.03
	"1999"	"1999"	"California"	"06"	229380	33499204	684.73
	"1999"	"1999"	"Colorado"	"08"	27114	4226018	641.60
	"1999"	"1999"	"Connecticut"	"09"	29446	3386401	869.54
	"1999"	"1999"	"Delaware"	"10"	6666	774990	860.14
	"1999"	"1999"	"District of Columbia"	"11"	6076	570213	1065.57
	"1999"	"1999"	"Florida"	"12"	163224	15759421	1035.72
	"1999"	"1999"	"Georgia"	"13"	62028	8045965	770.92
	"1999"	"1999"	"Hawaii"	"15"	8270	1210300	683.30
	"1999"	"1999"	"Idaho"	"16"	9579	1275674	750.90
	"1999"	"1999"	"Illinois"	"17"	108436	12359020	877.38
	"1999"	"1999"	"Indiana"	"18"	55303	6044969	914.86
	"1999"	"1999"	"Iowa"	"19"	28411	2917634	973.77
	"1999"	"1999"	"Kansas"	"20"	24472	2678338	913.70
	"1999"	"1999"	"Kentucky"	"21"	39321	4018053	978.61
	"1999"	"1999"	"Louisiana"	"22"	41238	4460811	924.45
	"1999"	"1999"	"Maine"	"23"	12261	1266808	967.87
	"1999"	"1999"	"Maryland"	"24"	43089	5254509	820.04
	"1999"	"1999"	"Massachusetts"	"25"	55840	6317345	883.92
	"1999"	"1999"	"Michigan"	"26"	87232	9897116	881.39
	"1999"	"1999"	"Minnesota"	"27"	38537	4873481	790.75
	"1999"	"1999"	"Mississippi"	"28"	28185	2828408	996.50
	"1999"	"1999"	"Missouri"	"29"	55931	5561948	1005.60
	"1999"	"1999"	"Montana"	"30"	8128	897507	905.62
	"1999"	"1999"	"Nebraska"	"31"	15579	1704764	913.85
	"1999"	"1999"	"Nevada"	"32"	15082	1934718	779.55
	"1999"	"1999"	"New Hampshire"	"33"	9537	1222014	780.43
	"1999"	"1999"	"New Jersey"	"34"	73981	8359592	884.98
	"1999"	"1999"	"New Mexico"	"35"	13676	1808082	756.38
	"1999"	"1999"	"New York"	"36"	159927	18882725	846.95
	"1999"	"1999"	"North Carolina"	"37"	69600	7949361	875.54
	"1999"	"1999"	"North Dakota"	"38"	6103	644259	947.29
	"1999"	"1999"	"Ohio"	"39"	108517	11335454	957.32
	"1999"	"1999"	"Oklahoma"	"40"	34700	3437147	1009.56
	"1999"	"1999"	"Oregon"	"41"	29422	3393941	866.90
	"1999"	"1999"	"Pennsylvania"	"42"	130283	12263805	1062.34
	"1999"	"1999"	"Rhode Island"	"44"	9708	1040402	933.10
	"1999"	"1999"	"South Carolina"	"45"	36053	3974682	907.07
	"1999"	"1999"	"South Dakota"	"46"	6953	750412	926.56
	"1999"	"1999"	"Tennessee"	"47"	53765	5638706	953.50
	"1999"	"1999"	"Texas"	"48"	146858	20558220	714.35
	"1999"	"1999"	"Utah"	"49"	12058	2203482	547.22
	"1999"	"1999"	"Vermont"	"50"	4993	604683	825.72
	"1999"	"1999"	"Virginia"	"51"	55320	7000174	790.27
	"1999"	"1999"	"Washington"	"53"	43865	5842564	750.78
	"1999"	"1999"	"West Virginia"	"54"	21049	1811799	1161.77
	"1999"	"1999"	"Wisconsin"	"55"	46672	5332666	875.21
	"1999"	"1999"	"Wyoming"	"56"	4042	491780	821.91
	"2000"	"2000"	"Alabama"	"01"	45062	4447100	1013.29
	"2000"	"2000"	"Alaska"	"02"	2914	626932	464.80
	"2000"	"2000"	"Arizona"	"04"	40500	5130632	789.38
	"2000"	"2000"	"Arkansas"	"05"	28217	2673400	1055.47
	"2000"	"2000"	"California"	"06"	229551	33871648	677.71
	"2000"	"2000"	"Colorado"	"08"	27288	4301261	634.42
	"2000"	"2000"	"Connecticut"	"09"	30129	3405565	884.70
	"2000"	"2000"	"Delaware"	"10"	6875	783600	877.36
	"2000"	"2000"	"District of Columbia"	"11"	6001	572059	1049.02
	"2000"	"2000"	"Florida"	"12"	164395	15982378	1028.60
