	"Year"	"Year Code"	"State"	"Residence State Code"	Deaths	Population	Crude Rate
	"2021"	"2021"	"Alabama"	"01"	68889	5039877	1366.88
	"2021"	"2021"	"Alaska"	"02"	6208	732673	847.31
	"2021"	"2021"	"Arizona"	"04"	81442	7276316	1119.28
	"2021"	"2021"	"Arkansas"	"05"	40070	3025891	1324.24
	"2021"	"2021"	"California"	"06"	333249	39237836	849.31
	"2021"	"2021"	"Colorado"	"08"	48281	5812069	830.70
	"2021"	"2021"	"Connecticut"	"09"	34333	3605597	952.21
	"2021"	"2021"	"Delaware"	"10"	11296	1003384	1125.79
	"2021"	"2021"	"District of Columbia"	"11"	5833	670050	870.53
	"2021"	"2021"	"Florida"	"12"	261369	21781128	1199.98
	"2021"	"2021"	"Georgia"	"13"	112272	10799566	1039.60
	"2021"	"2021"	"Hawaii"	"15"	12816	1441553	889.04
	"2021"	"2021"	"Idaho"	"16"	18346	1900923	965.11
	"2021"	"2021"	"Illinois"	"17"	125048	12671469	986.85
	"2021"	"2021"	"Indiana"	"18"	78317	6805985	1150.71
	"2021"	"2021"	"Iowa"	"19"	34215	3193079	1071.54
	"2021"	"2021"	"Kansas"	"20"	32029	2934582	1091.43
	"2021"	"2021"	"Kentucky"	"21"	60303	4509394	1337.28
	"2021"	"2021"	"Louisiana"	"22"	57533	4624047	1244.21
	"2021"	"2021"	"Maine"	"23"	17269	1372247	1258.45
	"2021"	"2021"	"Maryland"	"24"	58117	6165129	942.67
	"2021"	"2021"	"Massachusetts"	"25"	63115	6984723	903.61
	"2021"	"2021"	"Michigan"	"26"	117782	10050811	1171.87
	"2021"	"2021"	"Minnesota"	"27"	51640	5707390	904.79
	"2021"	"2021"	"Mississippi"	"28"	41085	2949965	1392.73
	"2021"	"2021"	"Missouri"	"29"	73847	6168187	1197.22
	"2021"	"2021"	"Montana"	"30"	12707	1104271	1150.71
	"2021"	"2021"	"Nebraska"	"31"	18925	1963692	963.75
	"2021"	"2021"	"Nevada"	"32"	32923	3143991	1047.17
	"2021"	"2021"	"New Hampshire"	"33"	14198	1388992	1022.18
	"2021"	"2021"	"New Jersey"	"34"	84032	9267130	906.77
	"2021"	"2021"	"New Mexico"	"35"	25300	2115877	1195.72
	"2021"	"2021"	"New York"	"36"	181360	19835913	914.30
	"2021"	"2021"	"North Carolina"	"37"	118093	10551162	1119.24
	"2021"	"2021"	"North Dakota"	"38"	7266	774948	937.61
	"2021"	"2021"	"Ohio"	"39"	147635	11780017	1253.27
	"2021"	"2021"	"Oklahoma"	"40"	50945	3986639	1277.89
	"2021"	"2021"	"Oregon"	"41"	44989	4246155	1059.52
	"2021"	"2021"	"Pennsylvania"	"42"	155390	12964056	1198.62
	"2021"	"2021"	"Rhode Island"	"44"	11243	1095610	1026.19
	"2021"	"2021"	"South Carolina"	"45"	65422	5190705	1260.37
	"2021"	"2021"	"South Dakota"	"46"	9185	895376	1025.83
	"2021"	"2021"	"Tennessee"	"47"	91130	6975218	1306.48
	"2021"	"2021"	"Texas"	"48"	267651	29527941	906.43
	"2021"	"2021"	"Utah"	"49"	22569	3337975	676.13
	"2021"	"2021"	"Vermont"	"50"	6877	645570	1065.26
	"2021"	"2021"	"Virginia"	"51"	85940	8642274	994.41
